candidate_id,ontology_version,subject_id,module,state_owner,field_or_packet,activation_event,source_plane,semantic_role
S01-C01,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_adapter,CommittedState,constitutive_state,AcceptCommit,committed_state,state
S01-C02,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_history,TrialCandidate,integration_point_state,TrialEvaluate,trial_state,state
S01-C03,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_history,RollbackManager,restored_state,RejectAttempt,rollback_state,state
S01-C04,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_adapter,ResidualAssembler,residual_packet,FormResidual,operator,operator
S01-C05,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_adapter,TangentAssembler,tangent_packet,FormTangent,operator,operator
S01-C06,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_adapter,CheckpointManager,checkpoint_state,CheckpointWrite,persistence,persistence
S01-C07,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_adapter,OutputWriter,accepted_output,OutputAcceptedState,accepted_output,output
S01-C08,JSS-P5C-ONTOLOGY-1.0,JSS-S01,p5_fe_adapter,LifecycleLedger,event_record,AnyLifecycleEvent,provenance,provenance
S02-C01,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_state,CommittedState,accepted_flow_state,AcceptCommit,committed_state,state
S02-C02,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_lifecycle,TrialState,trial_flow_state,TrialEvaluate,trial_state,state
S02-C03,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_lifecycle,PersistentCache,callback_cache,TrialEvaluate,persistent_state,state
S02-C04,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_fv,ResidualAssembler,residual_packet,FormResidual,operator,operator
S02-C05,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_fv,OperatorAssembler,tangent_or_flux_packet,FormTangent,operator,operator
S02-C06,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_lifecycle,CheckpointManager,checkpoint_state,CheckpointWrite,persistence,persistence
S02-C07,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_lifecycle,OutputWriter,accepted_output,OutputAcceptedState,accepted_output,output
S02-C08,JSS-P5C-ONTOLOGY-1.0,JSS-S02,l4_lifecycle,LifecycleLedger,event_record,AnyLifecycleEvent,provenance,provenance
S03-C01,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_state,CommittedState,accepted_adapter_state,AcceptCommit,committed_state,state
S03-C02,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_state,TrialCandidate,trial_adapter_state,ResidualEvaluation,trial_state,state
S03-C03,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_scipy_adapter,PersistentCallbackState,cache_or_counter,ResidualEvaluation,persistent_state,state
S03-C04,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_scipy_adapter,ResidualAdapter,residual_packet,ResidualEvaluation,operator,operator
S03-C05,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_scipy_adapter,JacobianAdapter,jacobian_packet,JacobianEvaluation,operator,operator
S03-C06,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_state,ResultCommitter,accepted_state,AcceptCommit,committed_state,persistence
S03-C07,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_scipy_adapter,OutputWriter,accepted_output,OutputAcceptedState,accepted_output,output
S03-C08,JSS-P5C-ONTOLOGY-1.0,JSS-S03,l6_scipy_adapter,LifecycleLedger,event_record,AnyLifecycleEvent,provenance,provenance

