case_id,design_version,partition,subject_id,fault_family,mutation_site,activation_event,ground_truth_candidate_ids,required_detection_verdict,ontology_version,implementation_status,execution_authorized
P5C-L01,JSS-P5C.0,DEVELOPMENT,JSS-S01,F03_PREMATURE_COMMIT,committed_constitutive_store,RejectAttempt,S01-C01,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L02,JSS-P5C.0,DEVELOPMENT,JSS-S01,F03_ROLLBACK_OMISSION,rollback_restore_path,RejectAttempt,S01-C03,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L03,JSS-P5C.0,DEVELOPMENT,JSS-S01,F05_OUTPUT_FEEDBACK,accepted_output_writer,OutputAcceptedState,S01-C07,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L04,JSS-P5C.0,HELD_OUT,JSS-S01,F07_CALLBACK_ORDER_BIAS,trial_state_reuse,TrialEvaluate,S01-C02,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L05,JSS-P5C.0,DEVELOPMENT,JSS-S02,F03_PREMATURE_COMMIT,accepted_flow_state,RejectAttempt,S02-C01,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L06,JSS-P5C.0,DEVELOPMENT,JSS-S02,F05_OUTPUT_FEEDBACK,accepted_output_writer,OutputAcceptedState,S02-C07,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L07,JSS-P5C.0,DEVELOPMENT,JSS-S02,F07_CALLBACK_ORDER_BIAS,callback_cache,TrialEvaluate,S02-C03,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L08,JSS-P5C.0,HELD_OUT,JSS-S02,F08_OPERATOR_VERSION_MISMATCH,tangent_or_flux_packet,FormTangent,S02-C05,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L09,JSS-P5C.0,DEVELOPMENT,JSS-S03,F03_PREMATURE_COMMIT,accepted_adapter_state,ResidualEvaluation,S03-C01,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L10,JSS-P5C.0,DEVELOPMENT,JSS-S03,F05_OUTPUT_FEEDBACK,accepted_output_writer,OutputAcceptedState,S03-C07,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L11,JSS-P5C.0,DEVELOPMENT,JSS-S03,F07_CALLBACK_CACHE,callback_cache,ResidualEvaluation,S03-C03,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
P5C-L12,JSS-P5C.0,HELD_OUT,JSS-S03,F07_CALLBACK_COUNTER,callback_counter,ResidualEvaluation,S03-C03,DETECT_LIFECYCLE_DRIFT,JSS-P5C-ONTOLOGY-1.0,FROZEN_NOT_IMPLEMENTED,false
