"case_id","run_id","partition","exit_code","wall_seconds"
"P5C-L01","run_1","DEVELOPMENT","0","1.038598"
"P5C-L01","run_2","DEVELOPMENT","0","1.018871"
"P5C-L02","run_1","DEVELOPMENT","0","1.015541"
"P5C-L02","run_2","DEVELOPMENT","0","1.019759"
"P5C-L03","run_1","DEVELOPMENT","0","1.01759"
"P5C-L03","run_2","DEVELOPMENT","0","1.01605"
"P5C-L05","run_1","DEVELOPMENT","0","1.028752"
"P5C-L05","run_2","DEVELOPMENT","0","1.027537"
"P5C-L06","run_1","DEVELOPMENT","0","1.027216"
"P5C-L06","run_2","DEVELOPMENT","0","1.012011"
"P5C-L07","run_1","DEVELOPMENT","0","1.018935"
"P5C-L07","run_2","DEVELOPMENT","0","1.02507"
"P5C-L09","run_1","DEVELOPMENT","0","1.012624"
"P5C-L09","run_2","DEVELOPMENT","0","1.02058"
"P5C-L10","run_1","DEVELOPMENT","0","1.021667"
"P5C-L10","run_2","DEVELOPMENT","0","1.015721"
"P5C-L11","run_1","DEVELOPMENT","0","1.024601"
"P5C-L11","run_2","DEVELOPMENT","0","1.013892"
