method_id,case_id,candidate_id,rank,score,reason_code
B3_GENERIC_REPLAY,P5C-L04,S01-C01,1,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L04,S01-C02,2,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L04,S01-C03,3,2.0,ARTIFACT_CLASS
B3_GENERIC_REPLAY,P5C-L04,S01-C04,4,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L04,S01-C05,5,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L04,S01-C06,6,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L04,S01-C07,7,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L04,S01-C08,8,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L04,S01-C02,1,8.0,OWNER+EVENT+SOURCE
B6_TLA_PROVENANCE,P5C-L04,S01-C03,2,1.0,RESTORATION
B6_TLA_PROVENANCE,P5C-L04,S01-C01,3,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L04,S01-C04,4,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L04,S01-C05,5,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L04,S01-C06,6,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L04,S01-C07,7,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L04,S01-C08,8,0.0,NO_VISIBLE_MATCH
