case_id,label,fault,mode,run_id,expected_verdict,observed_verdict,verdict_match,eligible,database_equal,persistent_equal,output_equal,endpoint_equal,blocked_count,false_block,containment_pass,semantic_sha256
SQL-S01,nested_savepoint_rollback,NONE,diagnostic,diagnostic-01,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,8a3dccfcb82ff21022bef3cfc16aa0f7b925e0785f76f639b761d0865a81a474
SQL-S01,nested_savepoint_rollback,NONE,diagnostic,diagnostic-02,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,8a3dccfcb82ff21022bef3cfc16aa0f7b925e0785f76f639b761d0865a81a474
SQL-S01,nested_savepoint_rollback,NONE,diagnostic,diagnostic-03,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,8a3dccfcb82ff21022bef3cfc16aa0f7b925e0785f76f639b761d0865a81a474
SQL-S02,inner_release_outer_rollback,NONE,diagnostic,diagnostic-01,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,bb87fdb15d80e1b02c27d8b54a2b6ac42adffd16d6767a16dfbacc1529b304fd
SQL-S02,inner_release_outer_rollback,NONE,diagnostic,diagnostic-02,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,bb87fdb15d80e1b02c27d8b54a2b6ac42adffd16d6767a16dfbacc1529b304fd
SQL-S02,inner_release_outer_rollback,NONE,diagnostic,diagnostic-03,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,bb87fdb15d80e1b02c27d8b54a2b6ac42adffd16d6767a16dfbacc1529b304fd
SQL-S03,exception_then_rollback,NONE,diagnostic,diagnostic-01,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,0ede17333da279f7ef1f679907c72cc88155c373420a40310e4826a177badf2a
SQL-S03,exception_then_rollback,NONE,diagnostic,diagnostic-02,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,0ede17333da279f7ef1f679907c72cc88155c373420a40310e4826a177badf2a
SQL-S03,exception_then_rollback,NONE,diagnostic,diagnostic-03,INVARIANT,INVARIANT,True,True,True,True,True,True,0,False,True,0ede17333da279f7ef1f679907c72cc88155c373420a40310e4826a177badf2a
SQL-F01,compensated_premature_commit,O2_PREMATURE_COMMIT,diagnostic,diagnostic-01,DETECTED,DETECTED,True,True,True,True,True,True,0,False,True,3516dcb3c04c201af0cb31e4bdae26ce2130eafa1726a7d4235e779a6c6a5a08
SQL-F01,compensated_premature_commit,O2_PREMATURE_COMMIT,diagnostic,diagnostic-02,DETECTED,DETECTED,True,True,True,True,True,True,0,False,True,3516dcb3c04c201af0cb31e4bdae26ce2130eafa1726a7d4235e779a6c6a5a08
SQL-F01,compensated_premature_commit,O2_PREMATURE_COMMIT,diagnostic,diagnostic-03,DETECTED,DETECTED,True,True,True,True,True,True,0,False,True,3516dcb3c04c201af0cb31e4bdae26ce2130eafa1726a7d4235e779a6c6a5a08
SQL-F02,rollback_omitted,O3_ROLLBACK_OMITTED,diagnostic,diagnostic-01,DETECTED,DETECTED,True,True,False,False,True,False,0,False,True,b8d6132cbae08ce2086f5c9ea58fa8c3febc0c96fd49b36de02bc38fd284e0e8
SQL-F02,rollback_omitted,O3_ROLLBACK_OMITTED,diagnostic,diagnostic-02,DETECTED,DETECTED,True,True,False,False,True,False,0,False,True,b8d6132cbae08ce2086f5c9ea58fa8c3febc0c96fd49b36de02bc38fd284e0e8
SQL-F02,rollback_omitted,O3_ROLLBACK_OMITTED,diagnostic,diagnostic-03,DETECTED,DETECTED,True,True,False,False,True,False,0,False,True,b8d6132cbae08ce2086f5c9ea58fa8c3febc0c96fd49b36de02bc38fd284e0e8
SQL-F03,external_cache_not_restored,O3_INCOMPLETE_RESTORE,diagnostic,diagnostic-01,DETECTED,DETECTED,True,True,True,False,True,False,0,False,True,6f6a3b086f492355e4acd6f0051ec6678cf43ff0b35ed5a36429570421208829
SQL-F03,external_cache_not_restored,O3_INCOMPLETE_RESTORE,diagnostic,diagnostic-02,DETECTED,DETECTED,True,True,True,False,True,False,0,False,True,6f6a3b086f492355e4acd6f0051ec6678cf43ff0b35ed5a36429570421208829
SQL-F03,external_cache_not_restored,O3_INCOMPLETE_RESTORE,diagnostic,diagnostic-03,DETECTED,DETECTED,True,True,True,False,True,False,0,False,True,6f6a3b086f492355e4acd6f0051ec6678cf43ff0b35ed5a36429570421208829
SQL-F04,policy_state_version_mismatch,O4_VERSION_MISMATCH,diagnostic,diagnostic-01,DETECTED,DETECTED,True,True,False,True,True,False,0,False,True,a4e6fbc554f5f4a678f704bfe8e3af05cc4a508e1594018ea326e9bb6de7f6f1
SQL-F04,policy_state_version_mismatch,O4_VERSION_MISMATCH,diagnostic,diagnostic-02,DETECTED,DETECTED,True,True,False,True,True,False,0,False,True,a4e6fbc554f5f4a678f704bfe8e3af05cc4a508e1594018ea326e9bb6de7f6f1
SQL-F04,policy_state_version_mismatch,O4_VERSION_MISMATCH,diagnostic,diagnostic-03,DETECTED,DETECTED,True,True,False,True,True,False,0,False,True,a4e6fbc554f5f4a678f704bfe8e3af05cc4a508e1594018ea326e9bb6de7f6f1
SQL-F05,rejected_output_escape,O5_OUTPUT_ESCAPE,diagnostic,diagnostic-01,DETECTED,DETECTED,True,True,True,True,False,False,0,False,True,4d3efedb3561b0e3c8c6799b151ae230aad74e95f112f67bf1fc5d9f1243e9ca
